A1,A2,A3,A4,A5,A6,A7
-0.00995273464142596,0.00616618056903137,-0.015212088830511,-0.0158897638064925,-0.00930015252081972,-0.00958538270474133,0.0152438212128598
-0.0104565918326481,0.00647834346033859,-0.0159822008275556,-0.0166941830991962,-0.00977097274218622,-0.0100706427041689,0.0160155396617609
-0.0109728899421721,0.00679821407735709,-0.0167713279356384,-0.017518464596658,-0.0102534181542037,-0.0105678844319773,0.016806312887178
-0.0115016289699979,0.00712579242008688,-0.0175794701547593,-0.0183626082988779,-0.0107474887568723,-0.0110771078881667,0.0176161408891111
-0.0120428089161254,0.00746107848852796,-0.0184066274849183,-0.0192266142058559,-0.0112531845501919,-0.011598313072737,0.0184450236675604
-0.0125964297805547,0.00780407228268033,-0.0192527999261155,-0.0201104823175921,-0.0117705055341625,-0.0121314999856882,0.0192929612225257
-0.0131624915632858,0.00815477380254399,-0.0201179874783508,-0.0210142126340863,-0.0122994517087841,-0.0126766686270204,0.0201599535540071
-0.0137409942643187,0.00851318304811894,-0.0210021901416242,-0.0219378051553387,-0.0128400230740567,-0.0132338189967335,0.0210460006620046
-0.0143319378836534,0.00887930001940518,-0.0219054079159358,-0.0228812598813492,-0.0133922196299804,-0.0138029510948275,0.0219511025465182
-0.0149353224212898,0.0092531247164027,-0.0228276408012856,-0.0238445768121178,-0.0139560413765551,-0.0143840649213024,0.0228752592075478
-0.0155511478772281,0.00963465713911152,-0.0237688887976734,-0.0248277559476445,-0.0145314883137808,-0.0149771604761583,0.0238184706450935
-0.0161794142514681,0.0100238972875316,-0.0247291519050994,-0.0258307972879293,-0.0151185604416576,-0.0155822377593951,0.0247807368591553
-0.0168201215440099,0.010420845161663,-0.0257084301235636,-0.0268537008329723,-0.0157172577601853,-0.0161992967710128,0.0257620578497331
-0.0174732697548534,0.0108255007615057,-0.0267067234530659,-0.0278964665827734,-0.0163275802693641,-0.0168283375110115,0.026762433616827
-0.0181388588839988,0.0112378640870597,-0.0277240318936063,-0.0289590945373326,-0.0169495279691939,-0.0174693599793911,0.027781864160437
-0.018816888931446,0.0116579351383249,-0.0287603554451849,-0.0300415846966499,-0.0175831008596748,-0.0181223641761516,0.0288203494805631
-0.0195073598971949,0.0120857139153015,-0.0298156941078016,-0.0311439370607253,-0.0182282989408066,-0.018787350101293,0.0298778895772053
-0.0202102717812456,0.0125212004179893,-0.0308900478814564,-0.0322661516295588,-0.0188851222125895,-0.0194643177548154,0.0309544844503635
-0.0209256245835981,0.0129643946463885,-0.0319834167661494,-0.0334082284031505,-0.0195535706750235,-0.0201532671367186,0.0320501341000378
-0.0216534183042523,0.0134152966004989,-0.0330958007618805,-0.0345701673815002,-0.0202336443281084,-0.0208541982470028,0.0331648385262282
-0.0223936529432084,0.0138739062803206,-0.0342271998686497,-0.0357519685646081,-0.0209253431718444,-0.021567111085668,0.0342985977289346
-0.0231463285004662,0.0143402236858536,-0.0353776140864571,-0.0369536319524741,-0.0216286672062314,-0.022292005652714,0.0354514117081572
-0.0239114449760259,0.0148142488170979,-0.0365470434153027,-0.0381751575450982,-0.0223436164312694,-0.023028881948141,0.0366232804638957
-0.0246890023698873,0.0152959816740534,-0.0377354878551864,-0.0394165453424804,-0.0230701908469584,-0.023777739971949,0.0378142039961504
-0.0254790006820504,0.0157854222567203,-0.0389429474061082,-0.0406777953446208,-0.0238083904532985,-0.0245385797241378,0.0390241823049212
-0.0262814399125154,0.0162825705650985,-0.0401694220680681,-0.0419589075515192,-0.0245582152502896,-0.0253114012047076,0.040253215390208
-0.0270963200612822,0.0167874265991879,-0.0414149118410662,-0.0432598819631758,-0.0253196652379317,-0.0260962044136583,0.0415013032520109
-0.0279236411283507,0.0172999903589886,-0.0426794167251024,-0.0445807185795905,-0.0260927404162248,-0.0268929893509899,0.0427684458903299
-0.028763403113721,0.0178202618445007,-0.0439629367201768,-0.0459214174007633,-0.026877440785169,-0.0277017560167024,0.0440546433051649
-0.0296156060173931,0.018348241055724,-0.0452654718262893,-0.0472819784266942,-0.0276737663447642,-0.0285225044107959,0.045359895496516
-0.030480249839367,0.0188839279926586,-0.0465870220434399,-0.0486624016573832,-0.0284817170950104,-0.0293552345332703,0.0466842024643832
-0.0313573345796427,0.0194273226553045,-0.0479275873716287,-0.0500626870928304,-0.0293012930359076,-0.0301999463841256,0.0480275642087665
-0.0322468602382201,0.0199784250436616,-0.0492871678108556,-0.0514828347330357,-0.0301324941674559,-0.0310566399633619,0.0493899807296659
-0.0331488268150993,0.0205372351577301,-0.0506657633611207,-0.052922844577999,-0.0309753204896552,-0.0319253152709791,0.0507714520270813
